[0.000000] (-) TimerEvent: {}
[0.000339] (41068_ignition_bringup) JobQueued: {'identifier': '41068_ignition_bringup', 'dependencies': OrderedDict()}
[0.000382] (41068_ignition_bringup) JobStarted: {'identifier': '41068_ignition_bringup'}
[0.033134] (41068_ignition_bringup) JobProgress: {'identifier': '41068_ignition_bringup', 'progress': 'cmake'}
[0.035156] (41068_ignition_bringup) JobProgress: {'identifier': '41068_ignition_bringup', 'progress': 'build'}
[0.036280] (41068_ignition_bringup) Command: {'cmd': ['/usr/bin/cmake', '--build', '/home/jordan/G25_RS1/RS1-Gr25/build/41068_ignition_bringup', '--', '-j8', '-l8'], 'cwd': '/home/jordan/G25_RS1/RS1-Gr25/build/41068_ignition_bringup', 'env': OrderedDict([('LESSOPEN', '| /usr/bin/lesspipe %s'), ('GZ_SIM_RESOURCE_PATH', '/opt/ros/humble/share'), ('AI_AGENT', 'github_copilot_vscode_agent'), ('USER', 'jordan'), ('GIT_EDITOR', ':'), ('GIT_ASKPASS', '/home/jordan/.vscode-server/bin/110a328ea54b42367b803ec53ee0bf52ef26b419/extensions/git/dist/askpass.sh'), ('SHLVL', '2'), ('LD_LIBRARY_PATH', '/home/jordan/ros2_ws/install/turtlesim/lib:/opt/ros/humble/opt/rviz_ogre_vendor/lib:/opt/ros/humble/lib/x86_64-linux-gnu:/opt/ros/humble/lib'), ('COPILOT_AGENT', '1'), ('HOME', '/home/jordan'), ('OLDPWD', '/home/jordan/G25_RS1/RS1-Gr25'), ('TERM_PROGRAM_VERSION', '1.134.0'), ('VSCODE_IPC_HOOK_CLI', '/run/user/1000/vscode-ipc-c7d625a1-94c7-4c31-84f9-ebe8f700c0d8.sock'), ('ROS_PYTHON_VERSION', '3'), ('VSCODE_GIT_ASKPASS_MAIN', '/home/jordan/.vscode-server/bin/110a328ea54b42367b803ec53ee0bf52ef26b419/extensions/git/dist/askpass-main.js'), ('VSCODE_GIT_ASKPASS_NODE', '/home/jordan/.vscode-server/bin/110a328ea54b42367b803ec53ee0bf52ef26b419/node'), ('VSCODE_PYTHON_AUTOACTIVATE_GUARD', '1'), ('DBUS_SESSION_BUS_ADDRESS', 'unix:path=/run/user/1000/bus'), ('COLORTERM', 'truecolor'), ('WSL_DISTRO_NAME', 'Ubuntu-22.04'), ('WAYLAND_DISPLAY', 'wayland-0'), ('COLCON_PREFIX_PATH', '/home/jordan/G25_RS1/RS1-Gr25/install:/home/jordan/41068_ws/install:/home/jordan/ros2_ws/install'), ('ROS_DISTRO', 'humble'), ('LOGNAME', 'jordan'), ('NAME', 'Code'), ('WSL_INTEROP', '/run/WSL/838_interop'), ('PULSE_SERVER', 'unix:/mnt/wslg/PulseServer'), ('_', '/usr/bin/colcon'), ('ROS_VERSION', '2'), ('TERM', 'xterm-256color'), ('ROS_LOCALHOST_ONLY', '1'), ('HISTCONTROL', 'ignorespace'), ('PATH', '/home/jordan/.vscode-server/data/User/globalStorage/github.copilot-chat/debugCommand:/home/jordan/.vscode-server/data/User/globalStorage/github.copilot-chat/copilotCli:/home/jordan/.vscode-server/bin/110a328ea54b42367b803ec53ee0bf52ef26b419/bin/remote-cli:/opt/ros/humble/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/usr/lib/wsl/lib:/mnt/c/Program Files/WindowsApps/MicrosoftCorporationII.WindowsSubsystemForLinux_2.7.12.0_x64__8wekyb3d8bbwe:/mnt/c/Users/jorda/AppData/Local/Programs/cursor/resources/app/bin:/mnt/c/Program Files/Common Files/Oracle/Java/javapath:/mnt/c/WINDOWS/system32:/mnt/c/WINDOWS:/mnt/c/WINDOWS/System32/Wbem:/mnt/c/WINDOWS/System32/WindowsPowerShell/v1.0/:/mnt/c/WINDOWS/System32/OpenSSH/:/mnt/c/Program Files/dotnet/:/mnt/c/Program Files/nodejs/:/mnt/c/Users/jorda/AppData/Local/Programs/Python/Python312/Scripts/:/mnt/c/Users/jorda/AppData/Local/Programs/Python/Python312/:/mnt/c/Users/jorda/AppData/Local/Programs/Python/Python38-32/Scripts/:/mnt/c/Users/jorda/AppData/Local/Programs/Python/Python38-32/:/mnt/c/Users/jorda/AppData/Local/Microsoft/WindowsApps:/mnt/c/Program Files/JetBrains/PyCharm Community Edition 2020.1/bin:/mnt/c/Users/jorda/AppData/Local/spicetify:/mnt/c/Users/jorda/AppData/Roaming/npm:/mnt/c/Users/jorda/AppData/Local/Programs/cursor/resources/app/bin:/mnt/c/Users/jorda/AppData/Local/Programs/cursor/resources/app/bin:/mnt/c/Program Files/Git/cmd:/mnt/c/Program Files/Microsoft SQL Server/Client SDK/ODBC/170/Tools/Binn/:/mnt/c/Program Files (x86)/Microsoft SQL Server/150/Tools/Binn/:/mnt/c/Program Files/Microsoft SQL Server/150/Tools/Binn/:/mnt/c/Program Files/Microsoft SQL Server/150/DTS/Binn/:/mnt/c/Program Files (x86)/Windows Kits/8.1/Windows Performance Toolkit/:/mnt/c/Program Files/MATLAB/R2025a/bin:/mnt/c/Program Files/usbipd-win/:/mnt/c/Program Files/Arduino CLI/:/mnt/c/Users/jorda/AppData/Local/Programs/Python/Python310/Scripts/:/mnt/c/Users/jorda/AppData/Local/Programs/Python/Python310/:/mnt/c/Users/jorda/AppData/Local/Microsoft/WindowsApps:/mnt/c/Program Files/JetBrains/PyCharm Community Edition 2020.1/bin:/mnt/c/Users/jorda/AppData/Local/spicetify:/mnt/c/Users/jorda/AppData/Local/Programs/Microsoft VS Code/bin:/mnt/c/Users/jorda/AppData/Roaming/npm:/mnt/c/intelFPGA_lite/modelsim_ase/win32aloem:/mnt/c/intelFPGA_pro/19.1/modelsim_ase/win32aloem:/mnt/c/intelFPGA/20.1/modelsim_ase/win32aloem:/mnt/c/intelFPGA/19.1/modelsim_ase/win32aloem:/mnt/c/intelFPGA/18.1/modelsim_ase/win32aloem:/mnt/c/Users/jorda/AppData/Local/Programs/cursor/resources/app/bin:/snap/bin'), ('XDG_RUNTIME_DIR', '/run/user/1000'), ('DISPLAY', ':0'), ('LANG', 'C.UTF-8'), ('LS_COLORS', 'rs=0:di=01;34:ln=01;36:mh=00:pi=40;33:so=01;35:do=01;35:bd=40;33;01:cd=40;33;01:or=40;31;01:mi=00:su=37;41:sg=30;43:ca=30;41:tw=30;42:ow=34;42:st=37;44:ex=01;32:*.tar=01;31:*.tgz=01;31:*.arc=01;31:*.arj=01;31:*.taz=01;31:*.lha=01;31:*.lz4=01;31:*.lzh=01;31:*.lzma=01;31:*.tlz=01;31:*.txz=01;31:*.tzo=01;31:*.t7z=01;31:*.zip=01;31:*.z=01;31:*.dz=01;31:*.gz=01;31:*.lrz=01;31:*.lz=01;31:*.lzo=01;31:*.xz=01;31:*.zst=01;31:*.tzst=01;31:*.bz2=01;31:*.bz=01;31:*.tbz=01;31:*.tbz2=01;31:*.tz=01;31:*.deb=01;31:*.rpm=01;31:*.jar=01;31:*.war=01;31:*.ear=01;31:*.sar=01;31:*.rar=01;31:*.alz=01;31:*.ace=01;31:*.zoo=01;31:*.cpio=01;31:*.7z=01;31:*.rz=01;31:*.cab=01;31:*.wim=01;31:*.swm=01;31:*.dwm=01;31:*.esd=01;31:*.jpg=01;35:*.jpeg=01;35:*.mjpg=01;35:*.mjpeg=01;35:*.gif=01;35:*.bmp=01;35:*.pbm=01;35:*.pgm=01;35:*.ppm=01;35:*.tga=01;35:*.xbm=01;35:*.xpm=01;35:*.tif=01;35:*.tiff=01;35:*.png=01;35:*.svg=01;35:*.svgz=01;35:*.mng=01;35:*.pcx=01;35:*.mov=01;35:*.mpg=01;35:*.mpeg=01;35:*.m2v=01;35:*.mkv=01;35:*.webm=01;35:*.webp=01;35:*.ogm=01;35:*.mp4=01;35:*.m4v=01;35:*.mp4v=01;35:*.vob=01;35:*.qt=01;35:*.nuv=01;35:*.wmv=01;35:*.asf=01;35:*.rm=01;35:*.rmvb=01;35:*.flc=01;35:*.avi=01;35:*.fli=01;35:*.flv=01;35:*.gl=01;35:*.dl=01;35:*.xcf=01;35:*.xwd=01;35:*.yuv=01;35:*.cgm=01;35:*.emf=01;35:*.ogv=01;35:*.ogx=01;35:*.aac=00;36:*.au=00;36:*.flac=00;36:*.m4a=00;36:*.mid=00;36:*.midi=00;36:*.mka=00;36:*.mp3=00;36:*.mpc=00;36:*.ogg=00;36:*.ra=00;36:*.wav=00;36:*.oga=00;36:*.opus=00;36:*.spx=00;36:*.xspf=00;36:'), ('VSCODE_GIT_IPC_HANDLE', '/run/user/1000/vscode-git-7c2e7ff97d.sock'), ('TERM_PROGRAM', 'vscode'), ('AMENT_PREFIX_PATH', '/home/jordan/G25_RS1/RS1-Gr25/install/41068_ignition_bringup:/home/jordan/41068_ws/install/41068_ignition_bringup:/home/jordan/ros2_ws/install/turtlesim:/opt/ros/humble'), ('DEBIAN_FRONTEND', 'noninteractive'), ('SHELL', '/bin/bash'), ('LESSCLOSE', '/usr/bin/lesspipe %s %s'), ('VSCODE_GIT_ASKPASS_EXTRA_ARGS', ''), ('GIT_PAGER', 'cat'), ('PWD', '/home/jordan/G25_RS1/RS1-Gr25/build/41068_ignition_bringup'), ('GIT_MERGE_AUTOEDIT', 'no'), ('COPILOT_DEBUG_NONCE', '3ef187561964f87141cad09c69aeb57a'), ('XDG_DATA_DIRS', '/usr/local/share:/usr/share:/var/lib/snapd/desktop'), ('PYTHONPATH', '/home/jordan/ros2_ws/install/turtlesim/local/lib/python3.10/dist-packages:/opt/ros/humble/lib/python3.10/site-packages:/opt/ros/humble/local/lib/python3.10/dist-packages'), ('COLCON', '1'), ('WSL2_GUI_APPS_ENABLED', '1'), ('HOSTTYPE', 'x86_64'), ('CMAKE_PREFIX_PATH', '/home/jordan/G25_RS1/RS1-Gr25/install/41068_ignition_bringup:/home/jordan/41068_ws/install/41068_ignition_bringup:/home/jordan/ros2_ws/install/turtlesim:/opt/ros/humble'), ('WSLENV', 'ELECTRON_RUN_AS_NODE/w:')]), 'shell': False}
[0.098746] (-) TimerEvent: {}
[0.194493] (41068_ignition_bringup) CommandEnded: {'returncode': 0}
[0.197240] (41068_ignition_bringup) JobProgress: {'identifier': '41068_ignition_bringup', 'progress': 'install'}
[0.198918] (-) TimerEvent: {}
[0.211273] (41068_ignition_bringup) Command: {'cmd': ['/usr/bin/cmake', '--install', '/home/jordan/G25_RS1/RS1-Gr25/build/41068_ignition_bringup'], 'cwd': '/home/jordan/G25_RS1/RS1-Gr25/build/41068_ignition_bringup', 'env': OrderedDict([('LESSOPEN', '| /usr/bin/lesspipe %s'), ('GZ_SIM_RESOURCE_PATH', '/opt/ros/humble/share'), ('AI_AGENT', 'github_copilot_vscode_agent'), ('USER', 'jordan'), ('GIT_EDITOR', ':'), ('GIT_ASKPASS', '/home/jordan/.vscode-server/bin/110a328ea54b42367b803ec53ee0bf52ef26b419/extensions/git/dist/askpass.sh'), ('SHLVL', '2'), ('LD_LIBRARY_PATH', '/home/jordan/ros2_ws/install/turtlesim/lib:/opt/ros/humble/opt/rviz_ogre_vendor/lib:/opt/ros/humble/lib/x86_64-linux-gnu:/opt/ros/humble/lib'), ('COPILOT_AGENT', '1'), ('HOME', '/home/jordan'), ('OLDPWD', '/home/jordan/G25_RS1/RS1-Gr25'), ('TERM_PROGRAM_VERSION', '1.134.0'), ('VSCODE_IPC_HOOK_CLI', '/run/user/1000/vscode-ipc-c7d625a1-94c7-4c31-84f9-ebe8f700c0d8.sock'), ('ROS_PYTHON_VERSION', '3'), ('VSCODE_GIT_ASKPASS_MAIN', '/home/jordan/.vscode-server/bin/110a328ea54b42367b803ec53ee0bf52ef26b419/extensions/git/dist/askpass-main.js'), ('VSCODE_GIT_ASKPASS_NODE', '/home/jordan/.vscode-server/bin/110a328ea54b42367b803ec53ee0bf52ef26b419/node'), ('VSCODE_PYTHON_AUTOACTIVATE_GUARD', '1'), ('DBUS_SESSION_BUS_ADDRESS', 'unix:path=/run/user/1000/bus'), ('COLORTERM', 'truecolor'), ('WSL_DISTRO_NAME', 'Ubuntu-22.04'), ('WAYLAND_DISPLAY', 'wayland-0'), ('COLCON_PREFIX_PATH', '/home/jordan/G25_RS1/RS1-Gr25/install:/home/jordan/41068_ws/install:/home/jordan/ros2_ws/install'), ('ROS_DISTRO', 'humble'), ('LOGNAME', 'jordan'), ('NAME', 'Code'), ('WSL_INTEROP', '/run/WSL/838_interop'), ('PULSE_SERVER', 'unix:/mnt/wslg/PulseServer'), ('_', '/usr/bin/colcon'), ('ROS_VERSION', '2'), ('TERM', 'xterm-256color'), ('ROS_LOCALHOST_ONLY', '1'), ('HISTCONTROL', 'ignorespace'), ('PATH', '/home/jordan/.vscode-server/data/User/globalStorage/github.copilot-chat/debugCommand:/home/jordan/.vscode-server/data/User/globalStorage/github.copilot-chat/copilotCli:/home/jordan/.vscode-server/bin/110a328ea54b42367b803ec53ee0bf52ef26b419/bin/remote-cli:/opt/ros/humble/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/usr/lib/wsl/lib:/mnt/c/Program Files/WindowsApps/MicrosoftCorporationII.WindowsSubsystemForLinux_2.7.12.0_x64__8wekyb3d8bbwe:/mnt/c/Users/jorda/AppData/Local/Programs/cursor/resources/app/bin:/mnt/c/Program Files/Common Files/Oracle/Java/javapath:/mnt/c/WINDOWS/system32:/mnt/c/WINDOWS:/mnt/c/WINDOWS/System32/Wbem:/mnt/c/WINDOWS/System32/WindowsPowerShell/v1.0/:/mnt/c/WINDOWS/System32/OpenSSH/:/mnt/c/Program Files/dotnet/:/mnt/c/Program Files/nodejs/:/mnt/c/Users/jorda/AppData/Local/Programs/Python/Python312/Scripts/:/mnt/c/Users/jorda/AppData/Local/Programs/Python/Python312/:/mnt/c/Users/jorda/AppData/Local/Programs/Python/Python38-32/Scripts/:/mnt/c/Users/jorda/AppData/Local/Programs/Python/Python38-32/:/mnt/c/Users/jorda/AppData/Local/Microsoft/WindowsApps:/mnt/c/Program Files/JetBrains/PyCharm Community Edition 2020.1/bin:/mnt/c/Users/jorda/AppData/Local/spicetify:/mnt/c/Users/jorda/AppData/Roaming/npm:/mnt/c/Users/jorda/AppData/Local/Programs/cursor/resources/app/bin:/mnt/c/Users/jorda/AppData/Local/Programs/cursor/resources/app/bin:/mnt/c/Program Files/Git/cmd:/mnt/c/Program Files/Microsoft SQL Server/Client SDK/ODBC/170/Tools/Binn/:/mnt/c/Program Files (x86)/Microsoft SQL Server/150/Tools/Binn/:/mnt/c/Program Files/Microsoft SQL Server/150/Tools/Binn/:/mnt/c/Program Files/Microsoft SQL Server/150/DTS/Binn/:/mnt/c/Program Files (x86)/Windows Kits/8.1/Windows Performance Toolkit/:/mnt/c/Program Files/MATLAB/R2025a/bin:/mnt/c/Program Files/usbipd-win/:/mnt/c/Program Files/Arduino CLI/:/mnt/c/Users/jorda/AppData/Local/Programs/Python/Python310/Scripts/:/mnt/c/Users/jorda/AppData/Local/Programs/Python/Python310/:/mnt/c/Users/jorda/AppData/Local/Microsoft/WindowsApps:/mnt/c/Program Files/JetBrains/PyCharm Community Edition 2020.1/bin:/mnt/c/Users/jorda/AppData/Local/spicetify:/mnt/c/Users/jorda/AppData/Local/Programs/Microsoft VS Code/bin:/mnt/c/Users/jorda/AppData/Roaming/npm:/mnt/c/intelFPGA_lite/modelsim_ase/win32aloem:/mnt/c/intelFPGA_pro/19.1/modelsim_ase/win32aloem:/mnt/c/intelFPGA/20.1/modelsim_ase/win32aloem:/mnt/c/intelFPGA/19.1/modelsim_ase/win32aloem:/mnt/c/intelFPGA/18.1/modelsim_ase/win32aloem:/mnt/c/Users/jorda/AppData/Local/Programs/cursor/resources/app/bin:/snap/bin'), ('XDG_RUNTIME_DIR', '/run/user/1000'), ('DISPLAY', ':0'), ('LANG', 'C.UTF-8'), ('LS_COLORS', 'rs=0:di=01;34:ln=01;36:mh=00:pi=40;33:so=01;35:do=01;35:bd=40;33;01:cd=40;33;01:or=40;31;01:mi=00:su=37;41:sg=30;43:ca=30;41:tw=30;42:ow=34;42:st=37;44:ex=01;32:*.tar=01;31:*.tgz=01;31:*.arc=01;31:*.arj=01;31:*.taz=01;31:*.lha=01;31:*.lz4=01;31:*.lzh=01;31:*.lzma=01;31:*.tlz=01;31:*.txz=01;31:*.tzo=01;31:*.t7z=01;31:*.zip=01;31:*.z=01;31:*.dz=01;31:*.gz=01;31:*.lrz=01;31:*.lz=01;31:*.lzo=01;31:*.xz=01;31:*.zst=01;31:*.tzst=01;31:*.bz2=01;31:*.bz=01;31:*.tbz=01;31:*.tbz2=01;31:*.tz=01;31:*.deb=01;31:*.rpm=01;31:*.jar=01;31:*.war=01;31:*.ear=01;31:*.sar=01;31:*.rar=01;31:*.alz=01;31:*.ace=01;31:*.zoo=01;31:*.cpio=01;31:*.7z=01;31:*.rz=01;31:*.cab=01;31:*.wim=01;31:*.swm=01;31:*.dwm=01;31:*.esd=01;31:*.jpg=01;35:*.jpeg=01;35:*.mjpg=01;35:*.mjpeg=01;35:*.gif=01;35:*.bmp=01;35:*.pbm=01;35:*.pgm=01;35:*.ppm=01;35:*.tga=01;35:*.xbm=01;35:*.xpm=01;35:*.tif=01;35:*.tiff=01;35:*.png=01;35:*.svg=01;35:*.svgz=01;35:*.mng=01;35:*.pcx=01;35:*.mov=01;35:*.mpg=01;35:*.mpeg=01;35:*.m2v=01;35:*.mkv=01;35:*.webm=01;35:*.webp=01;35:*.ogm=01;35:*.mp4=01;35:*.m4v=01;35:*.mp4v=01;35:*.vob=01;35:*.qt=01;35:*.nuv=01;35:*.wmv=01;35:*.asf=01;35:*.rm=01;35:*.rmvb=01;35:*.flc=01;35:*.avi=01;35:*.fli=01;35:*.flv=01;35:*.gl=01;35:*.dl=01;35:*.xcf=01;35:*.xwd=01;35:*.yuv=01;35:*.cgm=01;35:*.emf=01;35:*.ogv=01;35:*.ogx=01;35:*.aac=00;36:*.au=00;36:*.flac=00;36:*.m4a=00;36:*.mid=00;36:*.midi=00;36:*.mka=00;36:*.mp3=00;36:*.mpc=00;36:*.ogg=00;36:*.ra=00;36:*.wav=00;36:*.oga=00;36:*.opus=00;36:*.spx=00;36:*.xspf=00;36:'), ('VSCODE_GIT_IPC_HANDLE', '/run/user/1000/vscode-git-7c2e7ff97d.sock'), ('TERM_PROGRAM', 'vscode'), ('AMENT_PREFIX_PATH', '/home/jordan/G25_RS1/RS1-Gr25/install/41068_ignition_bringup:/home/jordan/41068_ws/install/41068_ignition_bringup:/home/jordan/ros2_ws/install/turtlesim:/opt/ros/humble'), ('DEBIAN_FRONTEND', 'noninteractive'), ('SHELL', '/bin/bash'), ('LESSCLOSE', '/usr/bin/lesspipe %s %s'), ('VSCODE_GIT_ASKPASS_EXTRA_ARGS', ''), ('GIT_PAGER', 'cat'), ('PWD', '/home/jordan/G25_RS1/RS1-Gr25/build/41068_ignition_bringup'), ('GIT_MERGE_AUTOEDIT', 'no'), ('COPILOT_DEBUG_NONCE', '3ef187561964f87141cad09c69aeb57a'), ('XDG_DATA_DIRS', '/usr/local/share:/usr/share:/var/lib/snapd/desktop'), ('PYTHONPATH', '/home/jordan/ros2_ws/install/turtlesim/local/lib/python3.10/dist-packages:/opt/ros/humble/lib/python3.10/site-packages:/opt/ros/humble/local/lib/python3.10/dist-packages'), ('COLCON', '1'), ('WSL2_GUI_APPS_ENABLED', '1'), ('HOSTTYPE', 'x86_64'), ('CMAKE_PREFIX_PATH', '/home/jordan/G25_RS1/RS1-Gr25/install/41068_ignition_bringup:/home/jordan/41068_ws/install/41068_ignition_bringup:/home/jordan/ros2_ws/install/turtlesim:/opt/ros/humble'), ('WSLENV', 'ELECTRON_RUN_AS_NODE/w:')]), 'shell': False}
[0.222328] (41068_ignition_bringup) StdoutLine: {'line': b'-- Install configuration: ""\n'}
[0.222645] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/jordan/G25_RS1/RS1-Gr25/install/41068_ignition_bringup/share/41068_ignition_bringup/config\n'}
[0.223295] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/jordan/G25_RS1/RS1-Gr25/install/41068_ignition_bringup/share/41068_ignition_bringup/config/slam_params_husky1.yaml\n'}
[0.223960] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/jordan/G25_RS1/RS1-Gr25/install/41068_ignition_bringup/share/41068_ignition_bringup/config/gazebo_bridge_parrot1.yaml\n'}
[0.224317] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/jordan/G25_RS1/RS1-Gr25/install/41068_ignition_bringup/share/41068_ignition_bringup/config/nav2_params.yaml\n'}
[0.224723] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/jordan/G25_RS1/RS1-Gr25/install/41068_ignition_bringup/share/41068_ignition_bringup/config/ignition_server.config\n'}
[0.225629] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/jordan/G25_RS1/RS1-Gr25/install/41068_ignition_bringup/share/41068_ignition_bringup/config/nav2_params_parrot1.yaml\n'}
[0.226171] (41068_ignition_bringup) StdoutLine: {'line': b'-- Up-to-date: /home/jordan/G25_RS1/RS1-Gr25/install/41068_ignition_bringup/share/41068_ignition_bringup/config/41068_parrot1.rviz\n'}
